MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	76.953613	Sec	6/8/2017 12:38:07 PM
Axial Force	Axial Displacement	Time
N	mm	Sec
0.13023427	-45.478077	0.15234375
0.098063149	-45.473312	0.25244141
0.0061154715	-45.531002	0.35253906
0.048311263	-45.521896	0.45263672
0.1582111	-45.461338	0.55273438
0.074907608	-45.478374	0.65283203
0.0056025917	-45.534153	0.75292969
0.088208057	-45.497478	0.85302734
0.14244205	-45.460514	0.953125
0.068598256	-45.485764	1.0532227
0.066592924	-45.493206	1.1533203
0.10515596	-45.476364	1.253418
0.14122787	-45.45668	1.3535156
0.073491864	-45.480339	1.4536133
0.13537753	-45.461945	1.5537109
0.17057653	-45.438625	1.6538086
0.1231586	-45.451946	1.7539063
0.13894583	-45.448895	1.8540039
0.14997864	-45.443134	1.9541016
0.14299947	-45.445396	2.0541992
0.14148811	-45.444958	2.1542969
0.14238496	-45.445415	2.2543945
0.14673963	-45.443409	2.3544922
0.17065001	-45.436333	2.4545898
0.22269729	-45.411804	2.5546875
0.15707175	-45.421906	2.6547852
0.18064803	-45.423172	2.7548828
0.23629141	-45.398853	2.8549805
0.18288711	-45.408813	2.9550781
0.19156876	-45.409046	3.0551758
0.20375958	-45.402626	3.1552734
0.18600242	-45.406933	3.2553711
0.20523088	-45.401024	3.3554688
0.18932754	-45.404606	3.4555664
0.25582007	-45.384529	3.5556641
0.20584333	-45.385506	3.6557617
0.20295872	-45.39341	3.7558594
0.26736739	-45.368355	3.855957
0.21829996	-45.377235	3.9560547
0.2262363	-45.37587	4.0561523
0.24957088	-45.368237	4.15625
0.2287434	-45.371925	4.2563477
0.23556048	-45.370213	4.3564453
0.29455331	-45.354691	4.456543
0.24577926	-45.35564	4.5566406
0.2785632	-45.353416	4.6567383
0.31442425	-45.33532	4.7568359
0.27498215	-45.342564	4.8569336
0.28266805	-45.341152	4.9570313
0.28754085	-45.339203	5.0571289
0.2908673	-45.338203	5.1572266
0.30121133	-45.333866	5.2573242
0.29266337	-45.335209	5.3574219
0.36017162	-45.315659	5.4575195
0.29350206	-45.323757	5.5576172
0.36217386	-45.312099	5.6577148
0.34746024	-45.30793	5.7578125
0.33827129	-45.30978	5.8579102
0.35346651	-45.304165	5.9580078
0.33191344	-45.307785	6.0581055
0.34610707	-45.304302	6.1582031
0.34975457	-45.302696	6.2583008
0.34477282	-45.302032	6.3583984
0.33685067	-45.30225	6.4584961
0.35737765	-45.298347	6.5585938
0.41467884	-45.278091	6.6586914
0.29068494	-45.302086	6.7587891
0.42790535	-45.273735	6.8588867
0.34253848	-45.283955	6.9589844
0.37407893	-45.281715	7.059082
0.39823163	-45.272449	7.1591797
0.372318	-45.276958	7.2592773
0.40409279	-45.271122	7.359375
0.42569661	-45.260342	7.4594727
0.4293626	-45.262253	7.5595703
0.44573835	-45.250809	7.659668
0.41792142	-45.259357	7.7597656
0.46322367	-45.245476	7.8598633
0.42557746	-45.251507	7.9599609
0.45566133	-45.245853	8.0600586
0.44067675	-45.246799	8.1601563
0.44337231	-45.246681	8.2602539
0.44375035	-45.24564	8.3603516
0.50090617	-45.235798	8.4604492
0.44081116	-45.238342	8.5605469
0.52153623	-45.226784	8.6606445
0.46093088	-45.232128	8.7607422
0.51513791	-45.223431	8.8608398
0.47214094	-45.227501	8.9609375
0.48637736	-45.224945	9.0610352
0.48294482	-45.224079	9.1611328
0.47312862	-45.224567	9.2612305
0.46870327	-45.22406	9.3613281
0.53589594	-45.212345	9.4614258
0.50507075	-45.212811	9.5615234
0.52398306	-45.20834	9.6616211
0.52438182	-45.206146	9.7617188
0.50773472	-45.2066	9.8618164
0.51928449	-45.204445	9.9619141
0.51448476	-45.204323	10.062012
0.52027154	-45.202408	10.162109
0.53428417	-45.198517	10.262207
0.53193218	-45.19838	10.362305
0.60473013	-45.182278	10.462402
0.55070472	-45.190765	10.5625
0.59762019	-45.178524	10.662598
0.58326125	-45.18047	10.762695
0.58491623	-45.177452	10.862793
0.59416723	-45.176929	10.962891
0.60491908	-45.173805	11.062988
0.59409988	-45.173798	11.163086
0.60432905	-45.172268	11.263184
0.58862716	-45.173298	11.363281
