MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	32.011719	Sec	6/8/2017 2:28:52 PM
Axial Force	Axial Displacement	Time
N	mm	Sec
0.11776639	-51.77573	1.1037598
0.11068007	-51.764568	1.2038574
0.050391223	-51.780365	1.3039551
0.052953191	-51.783051	1.4040527
0.071304649	-51.775715	1.5041504
0.044624239	-51.780964	1.604248
-0.0079906555	-51.804821	1.7043457
0.012212575	-51.801579	1.8044434
0.047444254	-51.787628	1.904541
0.064985618	-51.778095	2.0046387
0.067070693	-51.774857	2.1047363
0.076449022	-51.770367	2.204834
0.084700271	-51.766277	2.3049316
0.10141534	-51.760254	2.4050293
0.11257567	-51.752792	2.505127
0.12530486	-51.746326	2.6052246
0.14816245	-51.736633	2.7053223
0.16208605	-51.728039	2.8054199
0.11403385	-51.734802	2.9055176
0.074373476	-51.749134	3.0056152
0.16884877	-51.727917	3.1057129
0.19289261	-51.711048	3.2058105
0.10098928	-51.731712	3.3059082
0.11606758	-51.733681	3.4060059
0.23085856	-51.702938	3.5061035
0.15489028	-51.709538	3.6062012
0.10477614	-51.725143	3.7062988
0.17618728	-51.711773	3.8063965
0.22792046	-51.690742	3.9064941
0.11467519	-51.713223	4.0065918
0.15882422	-51.710178	4.1066895
0.2603898	-51.67918	4.2067871
0.14457189	-51.697445	4.3068848
0.1464835	-51.702625	4.4069824
0.24544668	-51.679253	4.5070801
0.15265287	-51.691334	4.6071777
0.16942339	-51.693897	4.7072754
0.28045288	-51.664867	4.807373
0.16922669	-51.680614	4.9074707
0.17360662	-51.685581	5.0075684
0.27754527	-51.661049	5.107666
0.1781005	-51.674973	5.2077637
0.22239292	-51.67289	5.3078613
0.28651881	-51.652939	5.407959
0.18211584	-51.669548	5.5080566
0.27570897	-51.655666	5.6081543
0.30228317	-51.642487	5.708252
0.1879504	-51.66357	5.8083496
0.31203461	-51.644363	5.9084473
0.30533931	-51.637218	6.0085449
0.22313413	-51.653423	6.1086426
0.32944149	-51.634434	6.2087402
0.27774283	-51.637856	6.3088379
0.27305722	-51.643452	6.4089355
0.34494063	-51.625122	6.5090332
0.24325368	-51.639874	6.6091309
0.32878256	-51.62772	6.7092285
0.3136842	-51.624035	6.8093262
0.30763754	-51.62476	6.9094238
0.32661059	-51.620308	7.0095215
0.30943105	-51.621586	7.1096191
0.31392586	-51.619274	7.2097168
0.32215959	-51.617271	7.3098145
0.32243338	-51.614861	7.4099121
0.3113077	-51.615067	7.5100098
0.32073432	-51.612888	7.6101074
0.309508	-51.614349	7.7102051
