MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	29.237305	Sec	6/8/2017 5:20:53 PM
Axial Force	Axial Displacement	Time
N	mm	Sec
0.11950716	-48.702759	3.5405273
0.055918913	-48.70834	3.640625
0.11955237	-48.698807	3.7407227
0.11405253	-48.694981	3.8408203
0.10580876	-48.695862	3.940918
0.12646979	-48.691319	4.0410156
0.1011956	-48.693115	4.1411133
0.12598266	-48.689636	4.2412109
0.10188174	-48.690434	4.3413086
0.10655541	-48.690666	4.4414063
0.12462503	-48.686913	4.5415039
0.11869131	-48.686874	4.6416016
0.11511845	-48.68708	4.7416992
0.18576252	-48.672924	4.8417969
0.094157413	-48.682163	4.9418945
0.21100265	-48.665474	5.0419922
0.12232155	-48.671741	5.1420898
0.20158957	-48.662621	5.2421875
0.15221198	-48.66531	5.3422852
0.16744366	-48.665173	5.4423828
0.17394266	-48.662697	5.5424805
0.18263307	-48.660534	5.6425781
0.16344528	-48.662983	5.7426758
0.17567024	-48.660645	5.8427734
0.22537662	-48.653423	5.9428711
0.22369199	-48.647156	6.0429688
0.22273472	-48.648113	6.1430664
0.24312522	-48.64024	6.2431641
0.23337725	-48.64336	6.3432617
0.24494174	-48.635975	6.4433594
0.22283593	-48.640747	6.543457
0.24919052	-48.634037	6.6435547
0.23492062	-48.635582	6.7436523
0.24732569	-48.632889	6.84375
0.23592176	-48.633091	6.9438477
0.22496653	-48.634087	7.0439453
0.23566252	-48.632622	7.144043
0.23779094	-48.630478	7.2441406
0.29916102	-48.622566	7.3442383
0.23171607	-48.62513	7.4443359
0.31785271	-48.614822	7.5444336
0.26059234	-48.618584	7.6445313
0.30330855	-48.613003	7.7446289
0.27857992	-48.614357	7.8447266
0.31195304	-48.610245	7.9448242
0.29022425	-48.611134	8.0449219
0.29732552	-48.609879	8.1450195
0.29169646	-48.610981	8.2451172
0.31751928	-48.606125	8.3452148
0.36586279	-48.59977	8.4453125
0.26636067	-48.605885	8.5454102
0.40652874	-48.589344	8.6455078
0.27864212	-48.598583	8.7456055
0.40495309	-48.584915	8.8457031
0.33360302	-48.58976	8.9458008
0.36405349	-48.585163	9.0458984
0.35675263	-48.585365	9.1459961
0.35761356	-48.585911	9.2460938
0.35994685	-48.583755	9.3461914
0.34321573	-48.58477	9.4462891
0.35418493	-48.583614	9.5463867
0.35740072	-48.583122	9.6464844
0.38024896	-48.580341	9.746582
0.37084097	-48.575298	9.8466797
0.42701772	-48.570396	9.9467773
0.39019719	-48.570435	10.046875
0.40798843	-48.567841	10.146973
0.40846667	-48.566818	10.24707
0.41697264	-48.565445	10.347168
0.43165493	-48.563076	10.447266
0.41422457	-48.562965	10.547363
0.42095566	-48.561993	10.647461
0.41056263	-48.561546	10.747559
0.42746529	-48.559769	10.847656
0.41439593	-48.560047	10.947754
0.49157178	-48.547764	11.047852
0.45240787	-48.551586	11.147949
0.46720359	-48.545475	11.248047
0.47858191	-48.545727	11.348145
0.46828297	-48.544743	11.448242
0.45127046	-48.544727	11.54834
0.47371027	-48.542683	11.648438
0.46201763	-48.543018	11.748535
0.47283617	-48.540844	11.848633
0.46873808	-48.540962	11.94873
0.4499397	-48.540958	12.048828
0.47926134	-48.538139	12.148926
0.49208787	-48.537766	12.249023
0.51517165	-48.528217	12.349121
0.52479059	-48.52626	12.449219
0.49563521	-48.527721	12.549316
0.51313287	-48.524593	12.649414
0.52479792	-48.522282	12.749512
0.51684153	-48.521954	12.849609
0.51126868	-48.521748	12.949707
0.52968198	-48.519577	13.049805
0.58802295	-48.510109	13.149902
0.55716747	-48.513847	13.25
0.54899454	-48.50922	13.350098
0.62008876	-48.503731	13.450195
0.57471675	-48.505119	13.550293
0.59835255	-48.501892	13.650391
0.5746814	-48.502762	13.750488
0.5802325	-48.501583	13.850586
0.6138345	-48.498272	13.950684
0.58160985	-48.499725	14.050781
0.60460782	-48.496712	14.150879
0.6031577	-48.495708	14.250977
0.64671451	-48.491791	14.351074
0.6407907	-48.488613	14.451172
0.63706893	-48.48661	14.55127
0.63196808	-48.485695	14.651367
0.64454079	-48.483685	14.751465
0.64400077	-48.482689	14.851563
0.64228904	-48.482414	14.95166
0.65149152	-48.479813	15.051758
0.61072177	-48.482059	15.151855
0.62594932	-48.479767	15.251953
0.62009799	-48.479328	15.352051
0.68372035	-48.473442	15.452148
0.61418223	-48.475006	15.552246
0.69133264	-48.466393	15.652344
0.67759079	-48.466438	15.752441
0.67346185	-48.464367	15.852539
0.68412608	-48.462784	15.952637
0.69984007	-48.460461	16.052734
0.67454487	-48.460823	16.152832
0.68215084	-48.459251	16.25293
0.69057798	-48.458183	16.353027
0.68529963	-48.457733	16.453125
0.75138068	-48.451782	16.553223
0.68127447	-48.454254	16.65332
0.78976113	-48.444138	16.753418
0.75631779	-48.445797	16.853516
0.74825639	-48.444546	16.953613
0.76424986	-48.443256	17.053711
0.77418983	-48.441677	17.153809
0.77807105	-48.440559	17.253906
0.75399017	-48.441277	17.354004
0.77421802	-48.438633	17.454102
0.77279806	-48.438759	17.554199
0.78194034	-48.433762	17.654297
0.85261482	-48.428738	17.754395
0.74092209	-48.43478	17.854492
0.790025	-48.428326	17.95459
0.7944234	-48.428108	18.054688
0.76404452	-48.428951	18.154785
0.79082912	-48.426479	18.254883
0.7782926	-48.426407	18.35498
0.77242947	-48.426186	18.455078
0.75343758	-48.426205	18.555176
0.76348889	-48.425034	18.655273
0.83002228	-48.41552	18.755371
0.82857025	-48.414413	18.855469
0.81117392	-48.414093	18.955566
0.84250706	-48.410591	19.055664
0.82754332	-48.411613	19.155762
0.82345814	-48.410282	19.255859
0.83358371	-48.409847	19.355957
0.83052742	-48.409424	19.456055
0.90373927	-48.399982	19.556152
0.92277485	-48.398418	19.65625
0.89963412	-48.397831	19.756348
0.91786057	-48.395668	19.856445
0.92409295	-48.394333	19.956543
0.89693689	-48.395702	20.056641
0.91979098	-48.393723	20.156738
0.90836555	-48.394234	20.256836
0.91552323	-48.39291	20.356934
0.91831964	-48.391903	20.457031
0.93545711	-48.389347	20.557129
0.92013866	-48.388767	20.657227
0.95857805	-48.383602	20.757324
0.98584408	-48.382908	20.857422
0.90043265	-48.385757	20.95752
0.91187334	-48.383282	21.057617
0.94174284	-48.381092	21.157715
