MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	102.58643	Sec	5/8/2017 6:19:50 PM
Time	Axial Displacement	Axial Force
Sec	mm	N
15.48584	-26.439232	0.27741718
15.585938	-26.437338	0.30543423
15.686035	-26.438755	0.28499752
15.786133	-26.440235	0.26926172
15.88623	-26.439196	0.27811706
15.986328	-26.436306	0.31595984
16.086426	-26.436646	0.31763408
16.186523	-26.435677	0.33027583
16.286621	-26.432638	0.37714839
16.386719	-26.430817	0.41496137
16.486816	-26.429941	0.41795602
16.586914	-26.428638	0.43675119
16.687012	-26.428658	0.44143528
16.787109	-26.427912	0.46210071
16.887207	-26.427355	0.46544454
16.987305	-26.426367	0.48170272
17.087402	-26.425652	0.49521115
17.1875	-26.427893	0.45705369
17.287598	-26.426615	0.47909245
17.387695	-26.427736	0.45965287
17.487793	-26.429289	0.43551528
17.587891	-26.428295	0.43952405
17.687988	-26.429375	0.41456771
17.788086	-26.432201	0.37296239
17.888184	-26.4319	0.36299798
17.988281	-26.4326	0.35733667
18.088379	-26.433432	0.3476294
18.188477	-26.43372	0.33161095
18.288574	-26.433811	0.32445642
18.388672	-26.433802	0.33773369
18.48877	-26.434595	0.31299561
18.588867	-26.434433	0.31657755
18.688965	-26.433672	0.32531887
18.789063	-26.433636	0.32802996
18.88916	-26.43214	0.34771526
18.989258	-26.431185	0.35391822
19.089355	-26.430616	0.37277806
19.189453	-26.429066	0.40073553
19.289551	-26.428152	0.4164305
19.389648	-26.427002	0.44240156
19.489746	-26.427008	0.44472954
19.589844	-26.427614	0.43949559
19.689941	-26.425905	0.48383629
19.790039	-26.424009	0.50734222
19.890137	-26.425529	0.48411128
19.990234	-26.425098	0.49138612
20.090332	-26.426773	0.47315988
20.19043	-26.427176	0.46635613
20.290527	-26.427475	0.44790745
20.390625	-26.424368	0.51702332
20.490723	-26.42597	0.47570723
20.59082	-26.42695	0.4612568
20.690918	-26.428446	0.4274011
20.791016	-26.42878	0.41165388
20.891113	-26.430393	0.37179536
20.991211	-26.430546	0.37116954
21.091309	-26.431011	0.35278937
21.191406	-26.430046	0.35584271
21.291504	-26.42951	0.36284241
21.391602	-26.428288	0.38463408
21.491699	-26.429289	0.37575948
21.591797	-26.429642	0.36101171
21.691895	-26.428734	0.36122152
21.791992	-26.427811	0.38167897
21.89209	-26.425158	0.4224745
21.992188	-26.422625	0.48478976
22.092285	-26.4224	0.4937048
22.192383	-26.422632	0.4901011
22.29248	-26.423473	0.47926676
22.392578	-26.422438	0.50430703
22.492676	-26.421959	0.50720918
22.592773	-26.421602	0.51747978
22.692871	-26.422098	0.52675617
22.792969	-26.422112	0.52415395
22.893066	-26.422121	0.5181942
22.993164	-26.423788	0.49521536
23.093262	-26.423691	0.49191043
23.193359	-26.424128	0.47442728
23.293457	-26.424301	0.47096002
23.393555	-26.42544	0.45329404
23.493652	-26.42642	0.41423625
23.59375	-26.42635	0.41194597
23.693848	-26.428066	0.36799103
23.793945	-26.429464	0.33876956
23.894043	-26.428644	0.34823745
23.994141	-26.427036	0.36607391
24.094238	-26.427412	0.3673138
24.194336	-26.42662	0.37151182
24.294434	-26.427641	0.35365063
24.394531	-26.426796	0.38900661
24.494629	-26.426405	0.38602269
24.594727	-26.426487	0.38370806
24.694824	-26.423586	0.43259886
24.794922	-26.42317	0.44795984
24.89502	-26.422121	0.4888666
24.995117	-26.420723	0.50733566
25.095215	-26.419722	0.50139886
25.195313	-26.417978	0.55278105
25.29541	-26.417454	0.57390076
25.395508	-26.418156	0.55000049
25.495605	-26.417448	0.57770646
25.595703	-26.419062	0.552082
25.695801	-26.418068	0.57434309
25.795898	-26.417648	0.58024395
25.895996	-26.419184	0.55432016
25.996094	-26.421345	0.5081321
26.096191	-26.421497	0.49587998
26.196289	-26.422153	0.48188049
26.296387	-26.42281	0.46245229
26.396484	-26.422747	0.46280417
26.496582	-26.424124	0.42551133
26.59668	-26.425266	0.39631259
26.696777	-26.425804	0.39270881
26.796875	-26.426598	0.37058762
26.896973	-26.426453	0.36804298
26.99707	-26.425116	0.3930949
27.097168	-26.425058	0.40017638
27.197266	-26.424215	0.41217288
27.297363	-26.423607	0.42416552
27.397461	-26.422358	0.44171575
27.497559	-26.422895	0.43562111
27.597656	-26.422607	0.42670313
27.697754	-26.422384	0.43159044
27.797852	-26.421227	0.45486853
27.897949	-26.419756	0.49486548
27.998047	-26.418232	0.53701782
28.098145	-26.418282	0.55516559
28.198242	-26.418129	0.55942225
28.29834	-26.41851	0.54548264
28.398438	-26.418549	0.54246724
28.498535	-26.419903	0.53026277
28.598633	-26.418722	0.53583455
28.69873	-26.419125	0.53468472
28.798828	-26.419243	0.52360815
28.898926	-26.418549	0.55210757
28.999023	-26.417797	0.56234843
29.099121	-26.419064	0.52625996
29.199219	-26.418852	0.51655364
29.299316	-26.420134	0.48466969
29.399414	-26.419228	0.49807429
29.499512	-26.419455	0.47878999
29.599609	-26.420977	0.45844626
29.699707	-26.421818	0.42441368
29.799805	-26.421679	0.42633706
29.899902	-26.421663	0.4300026
30	-26.420822	0.4382644
30.100098	-26.421347	0.43644628
30.200195	-26.419933	0.46377823
30.300293	-26.419981	0.45996696
30.400391	-26.418346	0.47774157
30.500488	-26.418776	0.49021643
30.600586	-26.418484	0.48877031
30.700684	-26.416195	0.53427321
30.800781	-26.415419	0.560377
30.900879	-26.415533	0.56493652
31.000977	-26.414312	0.60443938
31.101074	-26.413898	0.60961562
31.201172	-26.415226	0.59076393
31.30127	-26.415644	0.57424057
31.401367	-26.415514	0.58292812
31.501465	-26.41527	0.58911127
31.601563	-26.415993	0.57838726
31.70166	-26.415564	0.58589989
31.801758	-26.416374	0.5823071
31.901855	-26.418018	0.53549701
32.001953	-26.418867	0.51738048
32.102051	-26.419538	0.47794268
32.202148	-26.419714	0.47537163
32.302246	-26.419428	0.4874931
32.402344	-26.419136	0.49008545
32.502441	-26.42034	0.46223885
32.602539	-26.421158	0.4339093
32.702637	-26.419466	0.46540046
32.802734	-26.420237	0.45415789
32.902832	-26.420889	0.4328047
33.00293	-26.418423	0.47145671
33.103027	-26.418398	0.48332649
33.203125	-26.417931	0.49441272
33.303223	-26.417746	0.49990478
33.40332	-26.416075	0.53701389
33.503418	-26.416187	0.53359801
33.603516	-26.415329	0.54427969
33.703613	-26.413147	0.59129554
33.803711	-26.411652	0.64256448
33.903809	-26.411234	0.64631295
34.003906	-26.410976	0.653404
34.104004	-26.411638	0.63032657
34.204102	-26.412169	0.60783237
34.304199	-26.41259	0.60636806
34.404297	-26.411999	0.62680179
34.504395	-26.411713	0.61991543
34.604492	-26.41293	0.59298348
34.70459	-26.412066	0.6158995
34.804688	-26.411781	0.61452842
34.904785	-26.413534	0.57547235
35.004883	-26.414831	0.52751273
35.10498	-26.416893	0.46964148
35.205078	-26.414959	0.50753909
35.305176	-26.414925	0.53034937
35.405273	-26.415302	0.51878458
35.505371	-26.414248	0.52881557
35.605469	-26.416092	0.50285977
35.705566	-26.417538	0.47228068
35.805664	-26.415808	0.49681398
35.905762	-26.415306	0.50256813
36.005859	-26.413759	0.54295647
36.105957	-26.412905	0.5622859
36.206055	-26.41209	0.57395875
36.306152	-26.411764	0.58504558
36.40625	-26.411846	0.58439285
36.506348	-26.410587	0.61412376
36.606445	-26.411354	0.59454
36.706543	-26.410133	0.62316692
36.806641	-26.410229	0.62446803
36.906738	-26.409876	0.62575448
37.006836	-26.411053	0.609842
37.106934	-26.411951	0.58443135
37.207031	-26.412483	0.57243633
37.307129	-26.412453	0.57489175
37.407227	-26.413046	0.55852944
37.507324	-26.412823	0.56684047
37.607422	-26.413847	0.55142742
37.70752	-26.412235	0.59127653
37.807617	-26.412033	0.59594518
37.907715	-26.412014	0.60182387
38.007813	-26.412127	0.59205121
38.10791	-26.411886	0.58451813
38.208008	-26.413239	0.54001862
38.308105	-26.411821	0.59556556
38.408203	-26.411322	0.59979063
38.508301	-26.41157	0.58128917
38.608398	-26.410944	0.59091747
38.708496	-26.410608	0.57350582
38.808594	-26.411686	0.56330884
38.908691	-26.410601	0.57940531
39.008789	-26.409731	0.58708674
39.108887	-26.407854	0.64239717
39.208984	-26.408049	0.64043236
39.309082	-26.408646	0.61310816
39.40918	-26.409403	0.60871261
39.509277	-26.409464	0.61778122
39.609375	-26.407837	0.64645737
39.709473	-26.4069	0.67511767
39.80957	-26.406185	0.69258219
39.909668	-26.407259	0.6788758
40.009766	-26.40819	0.66712427
40.109863	-26.40785	0.6599412
40.209961	-26.40885	0.63244754
40.310059	-26.408625	0.64866573
40.410156	-26.406916	0.67544854
40.510254	-26.408197	0.64715755
40.610352	-26.40893	0.60743552
40.710449	-26.409042	0.61214638
40.810547	-26.409575	0.62089759
40.910645	-26.410227	0.58394861
41.010742	-26.410759	0.55674958
41.11084	-26.410717	0.5589242
41.210938	-26.411072	0.55233949
41.311035	-26.411285	0.55649281
41.411133	-26.410444	0.58169252
41.51123	-26.410292	0.57673365
41.611328	-26.410332	0.57318991
41.711426	-26.410664	0.56477785
41.811523	-26.411112	0.55315149
41.911621	-26.41036	0.56714648
42.011719	-26.408859	0.61136007
42.111816	-26.408331	0.61878842
42.211914	-26.408155	0.62149334
42.312012	-26.408342	0.63176155
42.412109	-26.408964	0.60822368
42.512207	-26.409605	0.59261143
42.612305	-26.409775	0.59207547
42.712402	-26.409288	0.59229255
42.8125	-26.408953	0.60615379
42.912598	-26.408382	0.63113803
43.012695	-26.408205	0.65140182
43.112793	-26.407776	0.6463905
43.212891	-26.408449	0.63619673
43.312988	-26.407623	0.64329427
43.413086	-26.4084	0.64314473
43.513184	-26.408482	0.64229769
43.613281	-26.408377	0.64790696
43.713379	-26.408588	0.63569427
43.813477	-26.408976	0.62469
43.913574	-26.409916	0.58974558
44.013672	-26.410019	0.58872539
44.11377	-26.409973	0.59692842
44.213867	-26.410704	0.58261329
44.313965	-26.409279	0.6001209
44.414063	-26.409685	0.61036867
44.51416	-26.408766	0.61726135
44.614258	-26.407932	0.63447505
44.714355	-26.407444	0.6421122
44.814453	-26.40766	0.63690466
44.914551	-26.406794	0.64729983
45.014648	-26.407059	0.65728039
45.114746	-26.406408	0.65163648
45.214844	-26.406416	0.65390879
45.314941	-26.406082	0.66374642
45.415039	-26.405888	0.66555458
