MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	42.507813	Sec	6/8/2017 5:57:51 PM
Axial Force	Axial Displacement	Time
N	mm	Sec
0.12835291	-48.082722	2.0788574
0.16355723	-48.062382	2.1789551
0.056099795	-48.093243	2.2790527
0.13563633	-48.076149	2.3791504
0.17780288	-48.053162	2.479248
0.10859488	-48.070488	2.5793457
0.13100511	-48.066906	2.6794434
0.13888696	-48.062691	2.779541
0.11721279	-48.068462	2.8796387
0.12670489	-48.066036	2.9797363
0.15113445	-48.059635	3.079834
0.19135112	-48.043579	3.1799316
0.096612021	-48.066174	3.2800293
0.17781128	-48.04847	3.380127
0.19418383	-48.035881	3.4802246
0.16323766	-48.04108	3.5803223
0.16352156	-48.041523	3.6804199
0.17606138	-48.037449	3.7805176
0.16794027	-48.037552	3.8806152
0.16294923	-48.038841	3.9807129
0.17826171	-48.035309	4.0808105
0.22402024	-48.024841	4.1809082
0.18293902	-48.025532	4.2810059
0.22563432	-48.020927	4.3811035
0.2704539	-47.99968	4.4812012
0.15812846	-48.026329	4.5812988
0.29871264	-47.99641	4.6813965
0.23903605	-48.000813	4.7814941
0.23238178	-48.00922	4.8815918
0.29042932	-47.992729	4.9816895
0.24152564	-48.000885	5.0817871
0.25546846	-47.999878	5.1818848
0.25866708	-47.997414	5.2819824
0.25022274	-47.999565	5.3820801
0.27796519	-47.993256	5.4821777
0.29903436	-47.982105	5.5822754
0.25817886	-47.993389	5.682373
0.34912592	-47.970665	5.7824707
0.25165385	-47.986633	5.8825684
0.31492132	-47.976105	5.982666
0.27108565	-47.98148	6.0827637
0.28820875	-47.978981	6.1828613
0.26123786	-47.98259	6.282959
0.293883	-47.977562	6.3830566
0.33009544	-47.963619	6.4831543
0.30227703	-47.969318	6.583252
0.35843417	-47.955254	6.6833496
0.30549923	-47.962189	6.7834473
0.32601807	-47.958782	6.8835449
0.33496043	-47.956219	6.9836426
0.33330491	-47.954182	7.0837402
0.35423848	-47.949825	7.1838379
0.34123361	-47.9505	7.2839355
0.34353837	-47.949081	7.3840332
0.33582908	-47.950245	7.4841309
0.37952787	-47.943481	7.5842285
0.39019814	-47.934792	7.6843262
0.39233294	-47.936802	7.7844238
0.41811454	-47.925671	7.8845215
0.39137185	-47.930256	7.9846191
0.41676381	-47.925228	8.0847168
0.40483478	-47.925594	8.1848145
0.40708274	-47.924438	8.2849121
0.4023262	-47.924591	8.3850098
0.42168096	-47.921173	8.4851074
0.40847003	-47.921711	8.5852051
0.47671473	-47.907375	8.6853027
0.39318129	-47.919209	8.7854004
0.49041149	-47.900829	8.885498
0.4039363	-47.911057	8.9855957
0.47053632	-47.901241	9.0856934
0.42807385	-47.904072	9.185791
0.43130451	-47.903877	9.2858887
0.43160784	-47.903366	9.3859863
0.42918259	-47.901752	9.486084
0.50713605	-47.888542	9.5861816
0.40451679	-47.899162	9.6862793
0.52461463	-47.880344	9.786377
0.45765463	-47.885582	9.8864746
0.49375957	-47.880615	9.9865723
0.46402389	-47.882881	10.08667
0.48540631	-47.879993	10.186768
0.49314544	-47.87796	10.286865
0.48971862	-47.877434	10.386963
0.49257931	-47.876595	10.487061
0.5553683	-47.866455	10.587158
0.47769696	-47.870182	10.687256
0.58354223	-47.857674	10.787354
0.53425109	-47.858097	10.887451
0.54994106	-47.856773	10.987549
0.58210611	-47.849518	11.087646
0.54701543	-47.853695	11.187744
0.56610906	-47.850269	11.287842
0.55872548	-47.84985	11.387939
0.55357492	-47.850204	11.488037
0.56450188	-47.847549	11.588135
0.56901014	-47.846523	11.688232
0.57013679	-47.840065	11.78833
0.60921699	-47.837193	11.888428
0.59095609	-47.833607	11.988525
0.6033414	-47.832237	12.088623
0.60081631	-47.83009	12.188721
0.5961886	-47.829491	12.288818
0.60018218	-47.826591	12.388916
0.5990932	-47.82563	12.489014
0.59168881	-47.824814	12.589111
0.6164667	-47.821079	12.689209
0.58161229	-47.823074	12.789307
0.62418991	-47.818859	12.889404
0.62344742	-47.811844	12.989502
0.66147286	-47.809208	13.0896
0.65503323	-47.804428	13.189697
0.67012662	-47.802273	13.289795
0.66527677	-47.800789	13.389893
0.65928507	-47.799919	13.48999
0.65897095	-47.798389	13.590088
0.66346037	-47.796555	13.690186
0.67077649	-47.795021	13.790283
0.67329359	-47.79414	13.890381
0.68363357	-47.791798	13.990479
0.67106277	-47.792236	14.090576
0.7557227	-47.78064	14.190674
0.63111907	-47.790218	14.290771
0.7735492	-47.772728	14.390869
0.69553238	-47.777561	14.490967
0.73817492	-47.772667	14.591064
0.72291702	-47.773384	14.691162
0.71937305	-47.772205	14.79126
0.72707993	-47.770782	14.891357
0.72565067	-47.76944	14.991455
0.72902435	-47.767109	15.091553
0.73566055	-47.765385	15.19165
0.73610455	-47.764187	15.291748
0.80944842	-47.752747	15.391846
0.72280151	-47.761112	15.491943
0.79909217	-47.747501	15.592041
0.78405744	-47.74918	15.692139
0.77343386	-47.74873	15.792236
0.78431112	-47.746559	15.892334
0.77387613	-47.746616	15.992432
0.78202641	-47.743744	16.092529
0.7758261	-47.743515	16.192627
0.76957482	-47.743534	16.292725
0.85096771	-47.732586	16.392822
0.75111061	-47.74073	16.49292
0.86721474	-47.726295	16.593018
0.79665565	-47.732731	16.693115
0.84619176	-47.72443	16.793213
0.82553303	-47.727055	16.893311
0.82163143	-47.724228	16.993408
0.80968094	-47.724121	17.093506
0.8189128	-47.722176	17.193604
0.82324398	-47.720814	17.293701
0.84425104	-47.713924	17.393799
0.89445859	-47.708584	17.493896
0.83924562	-47.711002	17.593994
0.86103034	-47.70871	17.694092
0.87552094	-47.704922	17.794189
0.85348922	-47.70591	17.894287
0.86769569	-47.703129	17.994385
0.86041373	-47.702595	18.094482
0.87009013	-47.700588	18.19458
0.94234288	-47.690498	18.294678
0.90774363	-47.691406	18.394775
0.89556563	-47.689301	18.494873
0.95467448	-47.683537	18.594971
0.91518897	-47.685211	18.695068
0.93663114	-47.681602	18.795166
0.93829578	-47.680016	18.895264
0.92536151	-47.680008	18.995361
0.93979919	-47.677284	19.095459
