MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	45.869629	Sec	6/8/2017 2:58:50 PM
Axial Force	Axial Displacement	Time
N	mm	Sec
0.1471062	-48.670971	2.0734863
0.11440099	-48.668804	2.173584
0.047919605	-48.698711	2.2736816
0.078264363	-48.694267	2.3737793
0.17085244	-48.651428	2.473877
0.10060735	-48.66238	2.5739746
0.045326088	-48.694729	2.6740723
0.12954296	-48.665203	2.7741699
0.16955326	-48.64053	2.8742676
0.12722577	-48.64949	2.9743652
0.12426738	-48.651524	3.0744629
0.13879082	-48.647141	3.1745605
0.13493842	-48.645775	3.2746582
0.13959008	-48.644638	3.3747559
0.14889021	-48.640251	3.4748535
0.15871912	-48.636505	3.5749512
0.14573014	-48.638611	3.6750488
0.12414911	-48.645454	3.7751465
0.18385215	-48.630852	3.8752441
0.22709347	-48.608112	3.9753418
0.12470424	-48.63369	4.0754395
0.2288786	-48.610138	4.1755371
0.2386616	-48.596424	4.2756348
0.14529414	-48.621387	4.3757324
0.25930583	-48.593628	4.4758301
0.22657102	-48.593002	4.5759277
0.20817646	-48.599442	4.6760254
0.23475212	-48.592422	4.776123
0.21113132	-48.596161	4.8762207
0.23911719	-48.590176	4.9763184
0.2075409	-48.594734	5.076416
0.23065631	-48.591385	5.1765137
0.22704674	-48.58947	5.2766113
0.20399565	-48.594654	5.376709
0.30325377	-48.571823	5.4768066
0.21257691	-48.58149	5.5769043
0.24957789	-48.580418	5.677002
0.3034004	-48.561131	5.7770996
0.24660781	-48.570347	5.8771973
0.26710501	-48.567207	5.9772949
0.27721313	-48.563423	6.0773926
0.2501443	-48.567966	6.1774902
0.2786994	-48.56292	6.2775879
0.25950906	-48.565434	6.3776855
0.27535403	-48.563732	6.4777832
0.35115567	-48.543179	6.5778809
0.24177578	-48.562641	6.6779785
0.35345328	-48.543049	6.7780762
0.32784557	-48.542522	6.8781738
0.33139676	-48.543186	6.9782715
0.33131444	-48.541435	7.0783691
0.32062221	-48.542217	7.1784668
0.3343555	-48.540222	7.2785645
0.34166038	-48.538116	7.3786621
0.34244922	-48.536591	7.4787598
0.3436656	-48.536041	7.5788574
0.4051052	-48.522957	7.6789551
0.32331538	-48.535015	7.7790527
0.42677236	-48.514206	7.8791504
0.36913612	-48.520767	7.979248
0.41048306	-48.514301	8.0793457
0.33874598	-48.523712	8.1794434
0.42081732	-48.511101	8.279541
0.37727019	-48.514698	8.3796387
0.40447545	-48.51009	8.4797363
0.37798014	-48.512428	8.579834
0.39008477	-48.510551	8.6799316
0.38973477	-48.508717	8.7800293
0.38941437	-48.508652	8.880127
0.3918688	-48.506954	8.9802246
0.37528855	-48.509926	9.0803223
0.39233091	-48.505722	9.1804199
0.37409186	-48.508686	9.2805176
0.45549363	-48.495205	9.3806152
0.45280004	-48.490013	9.4807129
0.45498151	-48.488163	9.5808105
0.44920987	-48.487801	9.6809082
0.44918638	-48.486866	9.7810059
0.44997877	-48.486721	9.8811035
0.45331645	-48.485039	9.9812012
0.46462405	-48.483063	10.081299
0.4687022	-48.481857	10.181396
0.52465868	-48.470108	10.281494
0.49041608	-48.474552	10.381592
0.5188089	-48.467632	10.481689
0.52501649	-48.465698	10.581787
0.53058738	-48.462902	10.681885
0.51889676	-48.463181	10.781982
0.508834	-48.463577	10.88208
0.50968623	-48.463749	10.982178
0.51474565	-48.462135	11.082275
0.50422466	-48.462902	11.182373
0.52838671	-48.459209	11.282471
0.54496258	-48.450352	11.382568
0.56278497	-48.450291	11.482666
0.55260199	-48.445797	11.582764
0.5682165	-48.444759	11.682861
0.51703399	-48.448025	11.782959
0.5777576	-48.441872	11.883057
0.56445581	-48.44043	11.983154
0.55656654	-48.441097	12.083252
0.54950339	-48.441246	12.18335
0.54697919	-48.441193	12.283447
0.5813126	-48.436344	12.383545
0.5411467	-48.439445	12.483643
